,Название,Текст,Первоисточник
10,СТАРИННЫЙ ПОРТРЕТ,"

Эта женщина минула,
в холст глубоко вошла.
А была она милая,
молодая была.

Прожила б она красивая,
вся задор и полнота,
если б проголодь крысиная
не сточила полотна.

Как металася по комнате,
как кручинилась по нем.
Ее пальцы письма комкали
и держали над огнем.

А когда входил уверенно,
громко спрашивал вина -
как заносчиво и ветрено
улыбалася она.

В зале с черными колоннами
маскерады затевал
и манжетами холодными
ее руки задевал.

Покорялись руки бедные,
обнимали сгоряча,
и взвивались пальцы белые
у цыгана скрипача.

Он опускался на колени,
смычком далеким обольщал
и тонкое лицо калеки
к высоким звездам обращал.

...А под утро в спальне темной
тихо свечку зажигал,
перстенек, мизинцем теплый,
он в ладони зажимал.

И смотрел, смотрел печально,
как, счастливая сполна,
безрассудно и прощально
эта женщина спала.

Надевала платье черное
и смотрела из дверей,
как к крыльцу подводят чопорных,
приозябших лошадей.

Поцелуем долгим, маетным
приникал к ее руке,
становился тихим, маленьким
колокольчик вдалеке.

О высокие клавиши
разбивалась рука.
Как над нею на кладбище
трава глубока.
",[]
11,МАЗУРКА ШОПЕНА,"

Какая участь нас постигла,
как повезло нам в этот час,
когда бегущая пластинка
одна лишь разделяла нас!

Сначала тоненько шипела,
как уж, изъятый из камней,
но очертания Шопена
приобретала все слышней.

И тоненькая, как мензурка
внутри с водицей голубой,
стояла девочка-мазурка,
покачивая головой.

Как эта с бедными плечами,
по-польски личиком бела,
разведала мои печали
и на себя их приняла?

Она протягивала руки
и исчезала вдалеке,
сосредоточив эти звуки
в иглой расчерченном кружке.

",[]
12,ВУЛКАНЫ,"

Молчат потухшие вулканы,
на дно их падает зола.
Там отдыхают великаны
после содеянного зла.

Все холоднее их владенья,
все тяжелее их плечам,
но те же грешные виденья
являются им по ночам.

Им снится город обреченный,
не знающий своей судьбы,
базальт, в колонны обращенный
и обрамляющий сады.

Там девочки берут в охапки
цветы, что расцвели давно,
там знаки подают вакханки
мужчинам, тянущим вино.

Все разгораясь и глупея,
там пир идет, там речь груба.
О девочка моя, Помпея,
дитя царевны и раба!

В плену судьбы своей везучей
о чем ты думала, о ком,
когда так храбро о Везувий
ты опиралась локотком?

Заслушалась его рассказов,
расширила зрачки свои,
чтобы не вынести раскатов
безудержной его любви.

И он челом своим умнейшим
тогда же, на исходе дня,
припал к ногам твоим умершим
и закричал: ""Прости меня!""

",[]
13,САДОВНИК,"

Я не скрипеть прошу калитку,
я долго около стою.
Я глажу тонкую калину
по загорелому стволу.

И, притаясь в листве веселой,
смеюсь тихонько в кулаки.
Вот он сидит, мой друг высокий,
и починяет башмаки.

Смешной, с иголкою и с дратвой,
еще не знает ничего,
а я кричу свирепо: ""Здравствуй!"" -
и налетаю на него.

А он смеется или плачет
и топчет грядки босиком,
и красный сеттер возле пляшет,
в меня нацелясь языком.

Забыв в одной руке ботинки,
чудак, садовник, педагог,
он в подпол лезет и бутылки
из темноты мне подает.

Он бегает, очки роняя,
и, на меня взглянув тайком,
он вытирает пыль с рояля
своим рассеянным платком.

Ах, неудачник мой, садовник!
Соседей добрых веселя,
о, сколько фруктов несъедобных
он поднял из тебя, земля!

Я эти фрукты ем покорно.
Они солены и крепки,
и слышно, как скребут по горлу
семян их острых коготки.

И верю я одна на свете,
что зацветут его сады,
что странно засияют с веток
их совершенные плоды.

Он говорит: - Ты представляешь -
быть может, через десять лет
ты вдруг письмо мне присылаешь,
а я пишу тебе в ответ...

Я представляю, и деревья
я вижу - глаз не оторву.
Размеренные ударенья
тяжелых яблок о траву...

Он машет вилкою с селедкой,
глазами голодно блестит,
и персик, твердый и соленый,
на крепких челюстях хрустит...


",[]
14,ЛУНАТИКИ,"

Встает луна, и мстит она за муки
надменной отдаленности своей.
Лунатики протягивают руки
и обреченно следуют за ней.

На крыльях одичалого сознанья,
весомостью дневной утомлены,
летят они, прозрачные созданья,
прислушиваясь к отсветам луны.

Мерцая так же холодно и скупо,
взамен не обещая ничего,
влечет меня далекое искусство
и требует согласья моего.

Смогу ли побороть его мученья
и обаянье всех его примет
и вылепить из лунного свеченья
тяжелый осязаемый предмет?..

",[]
15,x x x,"

Человек в чисто поле выходит,
травку клевер зубами берет.
У него ничего не выходит.
Все выходит наоборот.

И в работе опять не выходит.
и в любви, как всегда, не везет.
Что же он в чисто поле выходит,
травку клевер зубами берет?

Для чего он лицо поднимает,
улыбается, в небо глядит?

Что он видит там, что понимает
и какая в нем дерзость гудит?

Человече, тесно ль тебе в поле?
Погоди, не спеши умереть.
Но опять он до звона, до боли
хочет в белое небо смотреть.

Есть на это разгадка простая.
Нас единой заботой свело.
Человечеству сроду пристало
делать дерзкое дело свое.

В нем согласье беды и таланта
и готовность опять и опять
эти древние муки Тантала
на большие плеча принимать.

В металлическом блеске конструкций,
в устремленном движенье винта
жажда вечная - неба коснуться,
эта тяжкая жажда видна.

Посреди именин, новоселий
нет удачи желанней, чем та
не уставшая от невезений,
воссиявшая правота.


",[]
16,x x x,"

Влечет меня старинный .слог.
Есть обаянье в древней речи.
Она бывает наших слов
и современнее и резче.

Вскричать: ""Полцарства за коня!"" -
какая вспыльчивость и щедрость)
Но снизойдет и на меня
последнего задора тщетность.

Когда-нибудь очнусь во мгле,
навеки проиграв сраженье,
и вот придет на память мне
безумца древнего решенье.

О, что полцарства для меня!
Дитя, наученное веком,
возьму коня, отдам коня
за полмгновенья с человеком,

любимым мною. Бог с тобой,
о конь мой, конь мой, конь ретивый.
Я безвозмездно повод твой
ослаблю - и табун родимый

нагонишь ты, нагонишь там,
в степи пустой и порыжелой.
А мне наскучил тарарам
этих побед и поражений.

Мне жаль коня! Мне жаль любви!
И на манер средневековый
ложится под ноги мои
лишь след, оставленный подковой.

",[]
17,БОГ,"

За то, что девочка Настасья
добро чужое стерегла,
босая бегала в ненастье
за водкою для старика, -

ей полагался бог красивый
в чертоге, солнцем залитом,
щеголеватый, справедливый,
в старинном платье золотом.

Но посреди хмельной икоты,
среди убожества всего
две почерневшие иконы
не походили на него.

За это - вдруг расцвел цикорий,
порозовели жемчуга,
и раздалось, как хор церковный,
простое имя жениха.

Он разом вырос у забора,
поднес ей желтый медальон
и так вполне сошел за бога
в своем величье молодом.

И в сердце было свято-свято
от той гармошки гулевой,
от вин, от сладкогласья свата
и от рубашки голубой.

А он уже глядел обманно,
платочек газовый снимал
и у соседнего амбара
ей плечи слабые сминал...

А Настя волос причесала,
взяла платок за два конца,
а Настя пела, причитала,
держала руки у лица.

""Ах, что со мной ты понаделал,
какой беды понатворил!
Зачем ты в прошлый понедельник
мне белый розан подарил?

Ах, верба, верба, моя верба,
не вянь ты, верба, погоди.
Куда девалась моя вера-
остался крестик на груди"".

А дождик солнышком сменялся,
и не случалось ничего,
и бог над девочкой смеялся,
и вовсе не было его.

",[]
18,x x x,"

Вот звук дождя как будто звук домбры, -
так тренькает, так ударяет в зданья.
Прохожему на площади Восстанья
я говорю: - О, будьте так добры.

Я объясняю мальчику: - Шали. -
К его курчавой головенке никну
и говорю: - Пусти скорее нитку,
освободи зеленые шары.

На улице, где публика галдит,
мне белая встречается собака,
и взглядом понимающим собрата
собака долго на меня глядит.

И в магазине, в первом этаже,
по бледности я отличаю скрягу.
Облюбовав одеколона склянку,
томится он под вывеской ""Тэжэ"".

Я говорю: - О, отвлекись скорей
от жадности своей и от подагры,
приобрети богатые подарки
и отнеси возлюбленной своей.

Да, что-то не везет мне, не везет.
Меж мальчиков и девочек пригожих
и взрослых, чем-то на меня похожих,
мороженого катится возок.

Так прохожу я на исходе дня.
Теней я замечаю удлиненье,
а также замечаю удивленье
прохожих, озирающих меня.


",[]
19,ТВОЙ ДОМ,"

Твой дои, не ведая беды,
меня встречал и в щеку чмокал.
Как будто рыба из воды,
сервиз выглядывал из стекол.

И пес выскакивал ко мне,
как галка маленький, орущий,
и в беззащитном всеоружьи
торчали кактусы в окне.

От неурядиц всей земли
я шла озябшим делегатом,
и дом смотрел в глаза мои
и добрым был и деликатным.

На голову мою стыда
он не навлек, себя не выдал.
Дом клялся мне, что никогда
он этой женщины не видел.

Он говорил: - Я пуст, Я пуст. -
Я говорила: - Где-то, где-то... -
Он говорил: - И пусть. И пусть.
Входи и позабудь про это.

О, как боялась я сперва
платка или иной приметы,
но дом твердил свои слова,
перетасовывал предметы.

Он заметал ее следы.
О, как он притворился ловко,
что здесь не падало слезы,
не облокачивалось локтя.

Как будто тщательный прибой
смыл все: и туфель отпечатки,
и тот пустующий прибор,
и пуговицу от перчатки.

Все сговорились: пес забыл,
с кем он играл, и гвоздик малый
не ведал, кто его забил,
и мне давал ответ туманный.

Так были зеркала пусты,
как будто выпал снег и стаял.
Припомнить не могли цветы,
кто их в стакан граненый ставил...

О дом чужой! О милый дом!
Прощай! Прошу тебя о малом:
не будь так добр. Не будь так добр.
Не утешай меня обманом.

",[]
20,АВГУСТ,"

Так щедро август звезды расточал.
Он так бездумно приступал к владенью,
и обращались лица ростовчан
и всех южан - навстречу их паденью.

Я добрую благодарю судьбу.
Так падали мне на плечи созвездья,
как падают в заброшенном саду
сирени неопрятные соцветья.

Подолгу наблюдали мы закат,
соседей наших клавиши сердили,
к старинному роялю музыкант
склонял свои печальные седины.

Мы были звуки музыки одной.
О, можно было инструмент расстроить,
но твоего созвучия со мной
нельзя было нарушить и расторгнуть.

В ту осень так горели маяки,
так недалеко звезды пролегали,
бульварами шагали моряки,
и девушки в косынках пробегали.

Все то же там паденье звезд и зной,
все так же побережье неизменно.
Лишь выпали из музыки одной
две ноты, взятые одновременно.

",[]
21,АПРЕЛЬ,"

Вот девочки - им хочется любви.
Вот мальчики - им хочется в походы.
В апреле изменения погоды
объединяют всех людей с людьми.

О новый месяц, новый государь,
так ищешь ты к себе расположенья,
так ты бываешь щедр на одолженья,
к амнистиям склоняя календарь.

Да, выручишь ты реки из оков,
приблизишь ты любое отдаленье,
безумному даруешь просветленье
и исцелишь недуги стариков.

Лишь мне твоей пощады не дано.
Нет алчности просить тебя об этом.
Ты спрашиваешь - медлю я с ответом
и свет гашу, и в комнате темно.

",[]
22,x x x,"

В тот месяц май, в тот месяц мой
во мне была такая легкость,
и, расстилаясь над землей,
влекла меня погоды летность.

Я так щедра была, щедра
в счастливом предвкушенье пенья,
и с легкомыслием щегла
я окунала в воздух перья.

Но, слава богу, стал мой взор
и проницательней, и строже,
н каждый вздох и каждый взлет
обходится мне все дороже.

И я причастна к тайнам дня.
Открыты мне его явленья.
Вокруг оглядываюсь я
с усмешкой старого еврея.

Я вижу, как грачи галдят,
над черным снегом нависая,
как скучно женщины глядят,
склонившиеся над вязаньем.

И где-то, в дудочку дудя,
не соблюдая клумб и грядок,
чужое бегает дитя
и нарушает их порядок.

",[]
23,x x x,"

Не уделяй мне много времени,
вопросов мне не задавай.
Глазами добрыми и верными
руки моей не задевай.

Не проходи весной по лужицам,
по следу следа моего.
Я знаю - снова не получится
из этой встречи ничего.

Ты думаешь, что я из гордости
хожу, с тобою не дружу?
Я не из гордости - из горести
так прямо голову держу.



",[]
24,СЕНТЯБРЬ,"
                        Ю. Нагибину
",[]
25,I,"

Что за погода нынче на дворе?
А впрочем, нет мне до погоды дела -
и в январе живу, как в сентябре,
настойчиво и оголтело.
Сентябрь, не отводи твое крыло,
твое крыло оранжевого цвета.
Отсрочь твое последнее число
и подари мне промедленье это.

Повремени и не клонись ко сну.
Охваченный желанием даренья,
как и тогда, транжирь свою казну,
побалуй все растущие деревья.

Что делалось! Как напряглась трава,
чтоб зеленеть с такою полнотою,
и дерево, как медная труба,
сияло и играло над землею.

На палисадники, набитые битком,
все тратилась и тратилась природа,
и георгин показывал бутон,
и замирал, и ожидал прироста.

Испуганных художников толпа
на цвет земли смотрела воровато,
толпилась, вытирала пот со лба,
кричала, что она не виновата:

она не затевала кутерьму,
и эти краски красные пролиты
не ей - и в доказательство тому
казала свои бедные палитры.

Нет, вы не виноваты. Все равно
обречены менять окраску ветви.
Но все это, что желто и красно,
что зелено, - пусть здравствует вовеки.

Как пачкались, как били по глазам,
как нарушались прежние расцветки.
И в этом упоении базар
все понижал на яблоки расценки.

",[]
26,II,"

И мы увиделись. Ты вышел из дверей.
Все кончилось. Все начиналось снова.
До этого не начислялось дней,
как накануне рождества Христова.

И мы увиделись. И в двери мы вошли.
И дома не было за этими дверями.
Мы встретились, как старые вожди,
с закинутыми головами -

от гордости, от знанья, что к чему,
от недоверия и напряженья.
По твоему челу, по моему челу
мелькнуло это темное движенье.


Мы встретились, как дети поутру,
с закинутыми головами -
от нежности, готовности к добру
и робости перед словами.

Сентябрь, сентябрь, во всем твоя вина,
ты действовал так слепо и неверно.
Свобода равнодушья, ты одна
будь проклята и будь благословенна.

Счастливы подзащитные твои -
в пределах крепости, поставленной тобою,
неуязвимые для боли и любви,
как мстительно они следят за мною.

И мы увиделись. Справлял свои пиры
сентябрь, не проявляя недоверья.
Но, оценив значительность игры,
отпрянули все люди и деревья.

",[]
27,III,"

Прозрели мои руки. А глаза -
как руки, стали действенны и жадны.
Обильные возникли голоса
в моей гортани, высохшей от жажды

по новым звукам. Эту суть свою
впервые я осознаю на воле.
Вот так стоишь ты. Так и я стою -
звучащая, открытая для боли.

Сентябрь добавил нашим волосам
оранжевый оттенок увяданья.
Он жить учил нас, как живет он сам, -
напрягшись для последнего свиданья...

",[]
28,IV,"

Темнеет наше отдаленье,
нарушенное, позади.
Как щедро это одаренье
меня тобой! Но погоди -

любимых так не привечают.
О нежности перерасход!
Он все пределы превышает.
К чему он дальше приведет?

Так жемчугами осыпают,
и не спасает нас навес,
так - музыкою осеняют,
так - дождик падает с небес.

Так ты протягиваешь руки
навстречу моему лицу,
и в этом - запахи и звуки,
как будто вечером в лесу.

Так - головой в траву ложатся,
так - держат руки на груди
и в небо смотрят. Так - лишаются
любимого. Но погоди -


сентябрь ответит за растрату
и волею календаря
еще изведает расплату
за то, что крал у октября.

И мы причастны к этой краже.
Сентябрь, все кончено? Листы
уж падают? Но мы-то - краше,
но мы надежнее, чем ты.

Да, мы немалый шанс имеем
не проиграть. И говорю:
- Любимый, будь высокомерен
и холоден к календарю.

Наш праздник им не обозначен.
Вне расписания его
мы вместе празднуем и плачем
на гребне пира своего.

Все им предписанные будни
как воскресения летят,
и музыка играет в бубны,
и карты бубнами лежат.

Зато как Новый год был жалок.
Разлука, будни и беда
плясали там. Был воздух жарок,
а лед был груб. Но и тогда

там елки не было. Там было
иное дерево. Оно -
сияло и звалось рябина,
как в сентябре и быть должно.

",[]
29,V,"

Сентябрь-чудак и выживать мастак.
Быть может, он не разминется с нами,
пока не будет так, не будет так,
что мы его покинем сами.

И станет он покинутый тобой,
и осень обнажит свои прорехи,
и мальчики и девочки гурьбой
появятся, чтоб собирать орехи.

Вот щелкают и потрошат кусты,
репейники приклеивают к платью
и говорят: - А что же плачешь ты? -
Что плачу я? Что плачу?

Наладится такая тишина,
как под водой, как под морской водою.
И надо жить. У жизни есть одна
привычка - жить, что б ни было с тобою.

Изображать счастливую чету,
и отдышаться в этой жизни мирной,
и преступить заветную черту -
блаженной тупости. Но ты, мой милый,

ты на себя не принимай труда
печалиться. Среди зимы и лета,
в другие месяцы - нам никогда
не испытать оранжевого цвета.
Отпразднуем последнюю беду.
Рябиновые доломаем ветки.
Клянусь тебе двенадцать раз в году:
я в сентябре. И буду там вовеки.

",[]
30,ДЕКАБРЬ,"

Мы соблюдаем правила зимы.
Играем мы, не уступая смеху,
и, придавая очертанья снегу,
приподнимаем белый снег с земли.

И, будто бы предчувствуя беду,
прохожие толпятся у забора,
снедает их тяжелая, забота:
а что с тобой имеем мы в виду.

Мы бабу лепим, только и всего.
О, это торжество и удивленье,
когда и высота и удлиненье
зависят от движенья твоего.

Ты говоришь:-Смотри, как я леплю.-
Действительно, как хорошо ты лепишь
и форму от бесформенности лечишь.
Я говорю: - Смотри, как я люблю.

Снег уточняет все свои черты
и слушается нашего приказа.
И вдруг я замечаю, как прекрасно
лицо, что к снегу обращаешь ты.

Проходим мы по белому двору,
мимо прохожих, с выраженьем дерзким.
С лицом таким же пристальным и детским,
любимый мой, всегда играй в игру.

Поддайся его долгому труду,
о моего любимого работа!
Даруй ему удачливость ребенка,
рисующего домик и трубу.

",[]
31,x x x,"

- Мы расстаемся - и одновременно
овладевает миром перемена,
и страсть к измене так в нем велика,
что берегами брезгает река,
охладевают к небу облака,
кивает правой левая рука
и ей надменно говорит: - Пока!

Апрель уже не предвещает мая,
да, мая не видать вам никогда,
и распадается Иван-да-Марья.
О, желтого и синего вражда!

Свои растенья вытравляет лето,
долготы отстранились от широт,
и белого не существует цвета -
остались семь его цветных сирот.

Природа подвергается разрухе,
отливы превращаются в прибой,
и молкнут звуки - по вине разлуки
меня с тобой.
",[]
32,МОТОРОЛЛЕР,"

Завиден мне полет твоих колес,
о мотороллер розового цвета!
Слежу за ним, не унимая слез,
что льют без повода в начале лета.

И девочке, припавшей к седоку
с ликующей и гибельной улыбкой,
кажусь я приникающей к листку,
согбенной и медлительной улиткой.

Прощай! Твой путь лежит поверх меня
и меркнет там, в зеленых отдаленьях.
Две радуги, два неба, два огня,
бесстыдница, горят в твоих коленях.

И тело твое светится сквозъ плащ,
как стебель тонкий сквозь стекло и воду.
Вдруг из меня какой-то странный плач
выпархивает, пискнув, на свободу.

Так слабенький твой голосок поет,
и песенки мотив так прост и вечен.
Но, видишь ли, веселый твой полет
недвижностью моей уравновешен.

Затем твои качели высоки
и не опасно головокруженье,
что по другую сторону доски
я делаю обратное движенье.

Пока ко мне нисходит тишина,
твой шум летит в лужайках отдаленных.
Пока моя походка тяжела,
подъемлешь ты два крылышка зеленых.

Так проносись! - покуда я стою.
Так лепечи! - покуда я немею.
Всю легкость поднебесную твою
я искупаю тяжестью своею.

",[]
33,ГАЗИРОВАННАЯ ВОДА,"

Вот к будке с газированной водой,
всех автоматов баловень надменный,
таинственный ребенок современный
подходит, как к игрушке заводной.

Затем, самонадеянный фантаст,
монету влажную он опускает в щелку,
и, нежным брызгам подставляя щеку,
стаканом ловит розовый фонтан.

О, мне б его уверенность на миг
и фамильярность с тайною простою!

Но нет, я этой милости не стою,
пускай прольется мимо рук моих.

А мальчуган, причастный чудесам,
несет в ладони семь стеклянных граней,
и отблеск их летит на красный гравий
и больно ударяет по глазам.


Робея, я сама вхожу в игру
и поддаюсь с блаженным чувством риска
соблазну металлического диска,
и замираю, и стакан беру.

Воспрянув из серебряных оков,
родится омут сладкий и соленый,
неведомым дыханьем населенный
и свежей толчеею пузырьков.

Все радуги, возникшие из них,
пронзают небо в сладости короткой,
и вот уже, разнеженный щекоткой,
семь вкусов спектра пробует язык.

И автомата темная душа
взирает с добротою старомодной,
словно крестьянка, что рукой холодной
даст путнику напиться из ковша.

",[]
