,Фамилия,Имя,Отчество,Название,Текст,Год
61,Лермонтов,Михаил,Юрьевич,Графине Ростопчиной (Я верю: под одной...),"


Я верю: под одной звездою
Мы с вами были рождены;
Мы шли дорогою одною,
Нас обманули те же сны.
Но что ж!— от цели благородной
Оторван бурею страстей,
Я позабыл в борьбе бесплодной
Преданья юности моей.
Предвидя вечную разлуку,
Боюсь я сердцу волю дать;
Боюсь предательскому звуку
Мечту напрасную вверять...


Так две волны несутся дружно
Случайной, вольною четой
В пустыне моря голубой:
Их гонит вместе ветер южный;
Но их разрознит где–нибудь
Утеса каменная грудь...
И, полны холодом привычным,
Они несут брегам различным,
Без сожаленья и любви,
Свой ропот сладостный и томный,
Свой бурный шум, свой блеск заемный
И ласки вечные свои.


Середина апреля 
 ",1841
62,Лермонтов,Михаил,Юрьевич,Гроб Оссиана,"


(Узнав от путешественника
описание сей могилы)


Под занавесою тумана,
Под небом бурь, среди степей,
Стоит могила Оссиана
В горах Шотландии моей.
Летит к ней дух мой усыпленный
Родимым ветром подышать
И от могилы сей забвенной
Вторично жизнь свою занять!.. ",1830
63,Лермонтов,Михаил,Юрьевич,Гроза,"


Ревет гроза, дымятся тучи
Над темной бездною морской,
И хлещут пеною кипучей
Толпяся, волны меж собой.
Вкруг скал огнистой лентой вьется
Печальной молнии змея,
Стихий тревожный рой мятется —
И здесь стою недвижим я.


Стою — ужель тому ужасно
Стремленье всех надземных сил,
Кто в жизни чувствовал напрасно
И жизнию обманут был?
Вокруг кого, сей яд сердечный,
Вились сужденья клеветы,
Как вкруг скалы

остроконечной,
Губитель–пламень, вьешься ты?


О нет!— летай, огонь воздушный,
Свистите, ветры, над главой;
Я здесь, холодный, равнодушный,
И трепет не знаком со мной. ",1830
64,Лермонтов,Михаил,Юрьевич,* * *,"


Гроза шумит в морях с конца в конец.
Корабль летит по воле

бурных вод,
Один на нем спокоен лишь пловец,
Чело печать глубоких дум несет,
Угасший взор на тучи устремлен —
Не ведают, ни кто, ни что здесь он!..


Конечно, он живал между людей
И знает жизнь от сердца своего;
Крик ужаса, моленья, скрып снастей
Не трогают молчания его. ",1830
65,Лермонтов,Михаил,Юрьевич,Грузинская песня,"
Жила грузинка молодая,В гареме душном увядая;

Случилось раз: -

Из черных глазАлмаз любви, печали сын,

Скатился:Ах! ею старый армянин

Гордился!... 
Вокруг нее кристалл, рубины;Но как не плакать от кручины

У старика.

Его рукаЛаскает деву всякий день: И что же? -Скрываются красы как тень. О боже!... 
Он опасается измены.Его высоки, крепки стены; -

Но все любовь

Презрела. ВновьРумянец на щеках живойЯвился. 
И перл, между ресниц, поройНе бился.... 
Но армянин открыл коварность,Измену и неблагодарность

Как перенесть!

Досада, месть,Впервые вас он только сам Изведал! - И труп преступницы волнам Он предал.
 ",
66,Лермонтов,Михаил,Юрьевич,Гусар,"


Гусар! ты весел и беспечен,
Надев свой красный доломан;
Но знай — покой души не вечен,
И счастье на земле — туман.


Крутя лениво ус задорный,
Ты вспоминаешь стук пиров;
Но берегися думы черной,—
Она черней твоих усов.


Пускай судьба тебя голубит,
И страсть безумная смешит;
Но и тебя никто не любит,
Никто тобой не дорожит.


Когда ты, ментиком блистая,
Торопишь серого коня,
Не мыслит дева молодая:
«Он здесь проехал для меня».


Когда ты вихрем на сраженье
Летишь, бесчувственный герой,—
Ничье, ничье благословенье
Не улетает за тобой.


Гусар! ужель душа не слышит
В тебе желания любви?
Скажи мне, где твой ангел дышит?
Где очи милые твои?


Молчишь — и ум твой безнадежней,
Когда полнее твой бокал!
Увы — зачем от жизни прежней
Ты разом сердце оторвал!..


Ты не всегда был тем, что ныне,
Ты жил, ты слишком много жил,
И лишь с последнею святыней
Ты пламень сердца схоронил. ",1832
67,Лермонтов,Михаил,Юрьевич,Дары Терека,"


Терек воет, дик и злобен,
Меж утесистых громад,
Буре плач его подобен,
Слезы брызгами летят.
Но, по степи разбегаясь,
Он лукавый принял вид
И, приветливо ласкаясь,
Морю Каспию журчит:


«Расступись, о старец море,
Дай приют моей волне!
Погулял я на просторе,
Отдохнуть пора бы мне.
Я родился у Казбека,
Вскормлен грудью облаков,
С чуждой властью человека
Вечно спорить я готов.
Я, сынам твоим в забаву,
Разорил родной Дарьял
И валунов им, на славу,
Стадо целое пригнал».


Но, склонясь на мягкий берег,
Каспий стихнул, будто спит,
И опять, ласкаясь, Терек
Старцу на ухо журчит:


«Я привез тебе гостинец!
То гостинец не простой:
С поля битвы кабардинец,
Кабардинец удалой.
Он в кольчуге драгоценной,
В налокотниках стальных:
Из Корана стих священный
Писан золотом на них.
Он упрямо сдвинул брови,
И усов его края
Обагрила знойной крови
Благородная струя;
Взор открытый, безответный,
Полон старою враждой;
По затылку чуб заветный
Вьется черною космой».


Но, склонясь на мягкий берег,
Каспий дремлет и молчит;
И, волнуясь, буйный Терек
Старцу снова говорит:


«Слушай, дядя: дар бесценный!
Что другие все дары?
Но его от всей вселенной
Я таил до сей поры.
Я примчу к тебе с волнами
Труп казачки молодой,
С темно–бледными плечами,
С светло–русою косой.
Грустен лик ее туманный,
Взор так тихо, сладко спит,
А на грудь из малой раны
Струйка алая бежит.
По красотке молодице
Не тоскует над рекой
Лишь один во всей станице
Казачина гребенской.
Оседлал он вороного,
И в горах, в ночном бою,
На кинжал чеченца злого
Сложит голову свою».


Замолчал поток сердитый,
И над ним, как снег бела,
Голова с косой размытой,
Колыхаяся, всплыла.


И старик во блеске власти
Встал, могучий, как гроза,
И оделись влагой страсти
Темно–синие глаза.


Он взыграл, веселья полный, –
И в объятия свои
Набегающие волны
Принял с ропотом любви. ",1839
68,Лермонтов,Михаил,Юрьевич,Два великана,"


В шапке золота литого
Старый русский великан
Поджидал к себе другого
Из далеких чуждых стран.


За горами, за долами
Уж гремел об нем рассказ,
И померяться главами
Захотелось им хоть раз.


И пришел с грозой военной
Трехнедельный удалец,—
И рукою дерзновенной
Хвать за вражеский венец.


Но улыбкой роковою
Русский витязь отвечал:
Посмотрел — тряхнул главою.
Ахнул дерзкий — и упал!


Но упал он в дальнем море
На неведомый гранит,
Там, где буря на просторе
Над пучиною шумит. ",1832
69,Лермонтов,Михаил,Юрьевич,Два сокола,"
Степь синея расстилалась,Близ Азовских берегов;Запад гас, и ночь спускалась;Вихрь скользил между холмов.И, тряхнувшись, в поле дикомСерый сокол тихо сел;И к нему с ответным крикомБрат стрелою прилетел.«Братец, братец, что ты видел?Расскажи мне поскорей».- Ах! я свет возненавиделИ безжалостных людей. -«Что ж ты видел там худого?»- Кучу каменных сердец:Деве смех тоска милого,Для детей тиран отец.Девы мукой слез правдивыхВеселятся как игрой;И у ног самолюбивыхГибнут юноши толпой!...Братец, братец! ты что ж видел?Расскажи мне поскорей! - «Свет и я возненавиделИ изменчивых людей. Ношею обманов скрытыхЮность там удручена;Вспоминаний ядовитыхСтарость мрачная полна.Гордость, верь ты мне, прекраснойЗабывается порой;Но измена девы страстнойНож для сердца вековой!»....
 ",
70,Лермонтов,Михаил,Юрьевич,Девятый час; уж темно; близ заставы...,"
Девятый час; уж темно; близ заставыЧернеют рядом старых пять домов,Забор кругом. Высокий худощавыйПривратник на завалине готовУснуть; - дождя не будет, небо ясно, -Весь город спит. Он долго ждал напрасно;Темны все окна - блещут только два -И там - чем не богата ты, Москва! - 
Но, чу! - к воротам кто-то подъезжает. -Лихие дрожки, кучер с бородойШирокой, кони черные. - Слезает,Одет плащом, проказник молодой;Скрыпит за ним калитка; под ногамиСтучат колеблясь доски. (Между намиСкажу я, он ничей не прервал сон.)Дверь отворилась, - свечка. - Кто тут? - Он. 
Его узнала дева молодая,Снимает плащ и в комнату ведет;В шандале медном тускло догорая,Свеча на них свой луч последний льет. И на кровать с высокою перинойИ на стену с лубошною картиной;А в зеркале с противной стороныДва юные лиц{а`} отражены. 
Она была прекрасна, как мечтаньеРебенка под светилом южных стран.Что красота? - ужель одно названье?Иль грудь высокая и гибкий стан,Или большие очи? - но пороюВсе это не зовем мы красотою:Уста без слов - любить никто не мог,Взор без огня - без запаха цветок! - 
Она была свежа, как розы Леля,Она была похожа на портретМадоны - и мадоны Рафаэля; -И вряд ли было ей осьмнадцать лет;Лишь святости черты не выражали. -Глаза огнем неистовым пылали, -И грудь волнуясь поцелуй звала -Он был не папа - а она была..... 
Ну что же? - просто дева молодая -Которой все богатство - красота!..И впрочем замуж выйти не желая,Что было ей таить свои лета? -Она притворство хитрости не зналаИ в этом лишь другим не подражала!...Не всё ль равно? - любить не ставит в грехТа одного - та многих - эта всех! - 
Я с женщиною делаю условьеПред тем, чтобы насытить страсть мою:Всего важней, во-первых, мне здоровье,А во-вторых, я мешкать не люблю;Так поступил Парни питомец нежный:Он снял сертук, сел на постель небрежно,Поцеловал, лукаво посмотрел -И тотчас раздеваться ей велел! -
 ",
71,Лермонтов,Михаил,Юрьевич,Дереву,"
Давно ли с зеленью радушнойПередо мной стояло ты,И я коре твоей послушнойВверял любимые мечты;Лишь год назад, два талисманаСветилися в тени твоей,И ниже замысла обманаНе скрылося в душе детей!... 
Детей! - о! да, я был ребенок! - Промчался легкой страсти сон;Дремоты флёр был слишком тонок - В единый миг прорвался он.И деревцо с моей любовьюПогибло, чтобы вновь не цвесть;Я жизнь его купил бы кровью, - Но как переменить, что есть? 
Ужели также вдохновеньеУмрет невозвратимо с ним?Иль шуму светского волненьяБороться с сердцем молодым? Нет, нет, - мой дух бессмертен силой,Мой гений веки пролетит;И эти ветви над могилойПевца-страдальца освятит.
 ",
72,Лермонтов,Михаил,Юрьевич,Для чего я не родился...,"
Для чего я не родилсяЭтой синею волной? -Как бы шумно я катилсяПод серебряной луной,О! как страстно я лобзал быЗолотистый мой песок,Как надменно презирал быНедоверчивый челнок;Все, чем так гордятся люди,Мой набег бы разрушал;И к моей студёной грудиЯ б страдальцев прижимал;Не страшился б муки ада,Раем не был бы ты прельщен;Беспокойство и прохладаБыли б вечный мой закон;Не искал бы я забвеньяВ дальном северном краю;Был бы волен от рожденьяЖить и кончить жизнь мою! -
 ",
73,Лермонтов,Михаил,Юрьевич,Договор,"


Пускай толпа клеймит презреньем
Наш неразгаданный союз,
Пускай людским предубежденьем
Ты лишена семейных уз.


Но перед идолами света
Не гну колени я мои;
Как ты, не знаю в нем предмета
Ни сильной злобы, ни любви.


Как ты, кружусь в веселье шумном,
Не отличая никого:
Делюся с умным и безумным,
Живу для сердца своего.


Земного счастья мы не ценим,
Людей привыкли мы ценить;
Себе мы оба не изменим,
А нам не могут изменить.


В толпе друг друга мы узнали,
Сошлись и разойдемся вновь.
Была без радостей любовь,
Разлука будет без печали. ",1841
74,Лермонтов,Михаил,Юрьевич,Додо (Умеешь ты сердца тревожить...),"


Умеешь ты сердца тревожить,
Толпу очей остановить,
Улыбкой гордой уничтожить,
Улыбкой нежной оживить;
Умеешь ты польстить случайно
С холодной важностью лица
И умника унизить тайно,
Взяв пылко сторону глупца!
Как в Талисмане стих небрежный,
Как над пучиною мятежной
Свободный парус челнока,
Ты беззаботна и легка.
Тебя не понял север хладный;
В наш круг ты брошена судьбой,
Как божество страны чужой,
Как в день печали миг отрадный! ",1831
75,Лермонтов,Михаил,Юрьевич,Дума,"


Печально я гляжу на наше поколенье!
Его грядущее – иль пусто, иль темно,
Меж тем, под бременем познанья и сомненья,


 В бездействии состарится оно.


 Богаты мы, едва из колыбели,
Ошибками отцов и поздним их умом,
И жизнь уж нас томит, как ровный путь без цели,


 Как пир на празднике чужом.
 К добру и злу постыдно равнодушны,
В начале поприща мы вянем без борьбы;
Перед опасностью позорно малодушны
И перед властию – презренные рабы.


 Так тощий плод, до времени созрелый,
Ни вкуса нашего не радуя, ни глаз,
Висит между цветов, пришлец осиротелый,
И час их красоты – его паденья час!


Мы иссушили ум наукою бесплодной,
Тая завистливо от ближних и друзей
Надежды лучшие и голос благородный


 Неверием осмеянных страстей.
Едва касались мы до чаши наслажденья,


 Но юных сил мы тем не сберегли;
Из каждой радости, бояся пресыщенья,


 Мы лучший сок навеки извлекли.


Мечты поэзии, создания искусства
Восторгом сладостным наш ум не шевелят;
Мы жадно бережем в груди остаток чувства –
Зарытый скупостью и бесполезный клад.
И ненавидим мы, и любим мы случайно,
Ничем не жертвуя ни злобе, ни любви,
И царствует в душе какой–то холод тайный,


 Когда огонь кипит в крови.
И предков скучны нам роскошные забавы,
Их добросовестный, ребяческий разврат;
И к гробу мы спешим без счастья и без славы,


 Глядя насмешливо назад.


Толпой угрюмою и скоро позабытой
Над миром мы пройдем без шума и следа,
Не бросивши векам ни мысли плодовитой,


 Ни гением начатого труда.
И прах наш, с строгостью судьи и гражданина,
Потомок оскорбит презрительным стихом,
Насмешкой горькою обманутого сына


 Над промотавшимся отцом. ",1838
76,Лермонтов,Михаил,Юрьевич,Душа моя должна прожить в земной неволе...,"
Душа моя должна прожить в земной неволеНе долго. Может быть я не увижу болеТвой взор, твой милый взор, столь нежный для других,Звезду приветную соперников моих;Желаю счастья им - тебя винить безбожноЗа то, что мне нельзя все, все, что им возможно;Но если ты ко мне любовь хотела скрыть,Казаться хладною и в тишине любить,Но если ты при мне смеялась надо мною,Тогда как внутренно полна была тоскою,То мрачный мой тебе пускай покажет взгляд,Кто более страдал, кто боле виноват!
 ",
77,Лермонтов,Михаил,Юрьевич,Еврейская мелодия,"
Я видал иногда, как ночная звездаВ зеркальном заливе блестит;Как трепещет в струях, и серебряный прахОт нее рассыпаясь бежит. 
Но поймать ты не льстись и ловить не берись:Обманчивы луч и волна.Мрак тени твоей только ляжет на ней - Отойди ж - и заблещет она. 
Светлой радости так беспокойный призракНас манит под хладною мглой;Ты схватить - он шутя убежит от тебя! -Ты обманут - он вновь пред тобой.
 ",
78,Лермонтов,Михаил,Юрьевич,* * *,"


Есть речи – значенье
Темно иль ничтожно,
Но им без волненья
Внимать невозможно.


Как полны их звуки
Безумством желанья!
В них слезы разлуки,
В них трепет свиданья.


Не встретит ответа
Средь шума мирского
Из пламя и света
Рожденное слово;


Но в храме, средь боя
И где я ни буду,
Услышав, его я
Узнаю повсюду.


Не кончив молитвы,
На звук тот отвечу,
И брошусь из битвы
Ему я навстречу. ",1840
79,Лермонтов,Михаил,Юрьевич,Жалобы турка,"
(Письмо. К другу, иностранцу)
Ты знал ли дикий край, под знойными лучами,Где рощи и луга поблекшие цветут?Где хитрость и беспечность злобе дань несут?Где сердце жителей волнуемо страстями? - И где являются поройУмы и хладные и твердые как камень?Но мощь их давится безвременной тоской,И рано гаснет в них добра спокойный пламень. - -Там рано жизнь тяжка бывает для людей,Там за утехами несется укоризна,Там стонет человек от рабства и цепей!...Друг! этот край..... моя отчизна! 


--- 


 Р. S. Ах! если ты меня поймешь,Прости свободные намеки; -Пусть истину скрывает ложь:Что ж делать? - все мы человеки!...
 ",
80,Лермонтов,Михаил,Юрьевич,Желание (Зачем я не птица...),"


Зачем я не птица, не ворон степной,
 Пролетевший сейчас надо мной?
Зачем не могу в небесах я парить
 И одну лишь свободу любить?


На запад, на запад помчался бы я,
 Где цветут моих предков поля,
Где в замке пустом, на туманных горах,
 Их забвенный покоится прах.


На древней стене их наследственный щит
 И заржавленный меч их висит.
Я стал бы летать над мечом и щитом,
 И смахнул бы я пыль с них крылом;


И арфы шотландской струну бы задел,
 И по сводам бы звук полетел;
Внимаем одним, и одним пробужден,
 Как раздался, так смолкнул бы он.


Но тщетны мечты, бесполезны мольбы
 Против строгих законов судьбы.
Меж мной и холмами отчизны моей
 Расстилаются волны морей.


Последний потомок отважных бойцов
 Увядает среди чуждых снегов;
Я здесь был рожден, но нездешний душой...
 О! зачем я не ворон степной?..


29 июля , Середниково.Вечер на бельведере.
 ",1831
81,Лермонтов,Михаил,Юрьевич,Желанье (Отворите мне темницу...),"


Отворите мне темницу,
Дайте мне сиянье дня,
Черноглазую девицу,
Черногривого коня.
Дайте раз по синю полю
Проскакать на том коне;
Дайте раз на жизнь и волю,
Как на чуждую мне долю,
Посмотреть поближе мне.


Дайте мне челнок дощатый
С полусгнившею скамьей,
Парус серый и косматый,
Ознакомленный с грозой.
Я тогда пущуся в море,
Беззаботен и один,
Разгуляюсь на просторе
И потешусь в буйном споре
С дикой прихотью пучин.


Дайте мне дворец высокой
И кругом зеленый сад,
Чтоб в тени его широкой
Зрел янтарный виноград;
Чтоб фонтан не умолкая
В зале мраморном журчал
И меня б в мечтаньях рая,
Хладной пылью орошая,
Усыплял и пробуждал... ",1832
82,Лермонтов,Михаил,Юрьевич,Жена севера,"
Покрыта таинств легкой сеткой,Меж скал полуночной страны,Она являлася нередкоВ года волшебной старины. -И Финна дикие сыныЕй храмины сооружали,Как грозной дочери богов;И скальды северных лесовЕй вдохновенье посвящали.Кто зрел ее, тот умирал.И слух в угрюмой полуночиБродил, что будто как металлЯзвили голубые очи.И только скальды лишь моглиСмотреть на деву издали.Они платили песнопеньемЗа пламенный восторга час;И пробужден немым виденьемБыл строен их невнятный глас!...
 ",
83,Лермонтов,Михаил,Юрьевич,"Журналист, читатель и писатель","
Les poetes ressemblent aux ours, qui se nourrissent en sucant leurpatte. 
Inedit?
(Комната писателя, опущенные шторы. Он сидит в больших креслах перед камином; читатель с сигарой стоит спиной к камину. Журналист входит)
Журналист 
Я очень рад, что вы больны.В заботах жизни, в шуме светаТеряет скоро ум поэтаСвои божественные сны.Среди различных впечатленийНа мелочь душу разменяв,Он гибнет жертвой общих мнений!Когда ему в пылу забавОбдумать зрелое творенье?Зато, какая благодать,Коль небо вздумает послатьЕму изгнанье, заточенье,Иль даже долгую болезнь:Тотчас в его уединенье Раздастся сладостная песнь!Порой влюбляется он страстноВ свою нарядную печаль........Ну, что вы пишете? - нельзя льУзнать? 
Писатель 


 Да ничего... 
Журналист 


 Напрасно! 
Писатель 
О чем писать? - восток и югДавно описаны, воспеты;Толпу ругали все поэты,Хвалили все семейный круг;Все в небеса неслись душою,Взывали, с тайною мольбою,К N. N., неведомой красе, -И страшно надоели все. 
Читатель 
И я скажу - нужна отвага,Чтобы открыть, хоть ваш журнал(Он мне уж руки обломал).- Во-первых: серая бумага!Она быть может и чиста;Да как-то страшно без перчаток!...Читаешь - сотни опечаток!Стихи - такая пустота;Слова без смысла, чувства нету,Натянут каждый оборот;Притом - сказать ли по секрету? -И в рифмах часто недочёт.Возьмёшь ли прозу? - перевод.А если вам и попадутсяРассказы на родимый лад - То верно над Москвой смеютсяИли чиновников бранят.С кого они портреты пишут?Где разговоры эти слышут?А если и случалось им,Так мы их слышать не хотим! -Когда же на Руси бесплодной,Расставшись с ложной мишурой,Мысль обретёт язык простойИ страсти голос благородный? 
Журналист 
Я точно то же говорю;Как вы открыто негодуя,На музу русскую смотрю я.Прочтите критику мою. 
Читатель 
Читал я. - Мелкие нападкиНа шрифт, виньетки, опечатки,Намеки тонкие на то,Чего не ведает никто.Хотя б забавно было свету! -В чернилах ваших, господа,И желчи едкой даже нету,А просто грязная вода. 
Журналист 
И с этим надо согласиться.Но верьте мне, душевно радЯ был бы вовсе не браниться -Да как же быть?.. меня бранят?Войдите в наше положенье!Читает нас и низший круг;Нагая резкость выраженьяНе всякий оскорбляет слух;Приличье, вкус - всё так условно;А деньги все ведь платят ровно! - Поверьте мне: судьбою нестьДаны нам тяжкие вериги;Скажите, каково прочестьВесь этот вздор, все эти книги...И всё зачем? - чтоб вам сказать,Что их не надобно читать!... 
Читатель 
Зато какое наслажденье,Как отдыхает ум и грудь,Коль попадется как-нибудьЖивое, свежее творенье.Вот, например, приятель мой:Владеет он изрядным слогом,И чувств и мыслей полнотойОн одарен всевышним богом. 
Журналист 
Всё это так. - Да вот беда:Не пишут эти господа. 
Писатель 
О чем писать? - бывает время,Когда забот спадает бремяДни вдохновенного труда,Когда и ум и сердце полны,И рифмы дружные, как волны,Журча, одна во след другойНесутся вольной чередой.Восходит чудное светилоВ душе проснувшейся едва;На мысли, дышащие силой,Как жемчуг нижутся слова.Тогда с отвагою свободнойПоэт на будущность глядит,И мир мечтою благороднойПред ним очищен и обмыт,Но эти странные творенья Читает дома он один,И ими после без зазреньяОн затопляет свой камин.Ужель ребяческие чувства,Воздушный, безотчетный бредДостойны строгого искусства?Их осмеет, забудет свет..... 

Бывают тягостные ночи:Без сна, горят и плачут очи,На сердце жадная тоска;Дрожа, холодная рукаПодушку жаркую объемлет;Невольный страх власы подъемдет;Болезненный, безумный крикИз груди рвется - и языкЛепечет громко без сознаньяДавно забытые названья;Давно забытые чертыВ сияньи прежней красотыРисует память своевольно:В очах любовь, в устах обман -И веришь снова им невольно,И как-то весело и больноТревожить язвы старых ран. -Тогда пишу. - Диктует совесть,Пером сердитый водит ум:То соблазнительная повестьСокрытых дел и тайных дум;Картины хладные разврата,Преданья глупых юных дней,Давно без пользы и возвратаПогибших в омуте страстей,Средь битв незримых, но упорных,Среди обманщиц и невежд,Среди сомнений ложно-черныхИ ложно-радужных надежд.Судья безвестный и случайный, Не дорожа чужою тайной,Приличьем скрашенный порокЯ смело предаю позору;Неумолим я и жесток....Но, право, этих горьких строкНеприготовленному взоруЯ не решуся показать.....Скажите ж мне, о чем писать?.. 

К чему толпы неблагодарнойМне злость и ненависть навлечь?Чтоб бранью назвали коварнойМою пророческую речь?Чтоб тайный яд страницы знойнойСмутил ребенка сон покойныйИ сердце слабое увлёкВ свой необузданный поток?О нет! - преступною мечтоюНе ослепляя мысль мою,Такой тяжелою ценоюЯ вашей славы не куплю.
? Поэты похожи на медведей, 

которые кормятся тем, 

что сосут лапу. 


Неизданное. (франц.)
 ",
84,Лермонтов,Михаил,Юрьевич,Заблуждение Купидона,"


Однажды женщины Эрота отодрали;
Досадой раздражен, упрямое дитя,
Напрягши грозный лук и за обиду мстя,
Не смея к женщинам, к нам ярость острой стали,
Не слушая мольбы усерднейшей, стремит.
Ваш подлый род один! – безумный говорит.


С тех пор–то женщина любви не знает!..
И точно как рабов считает нас она...
Так в наказаниях всегда почти бывает:
Которые смирней, на тех падет вина!.. ",1828
85,Лермонтов,Михаил,Юрьевич,* * *,"


Забудь опять
Свои надежды;
Об них вздыхать
Судьба невежды;
Она дитя:
Не верь на слово;
Она шутя
Полюбит снова;
Все, что блестит,
Ее пленяет;
Все, что грустит,
Ее пугает;
Так облачко
По небу мчится
Светло, легко;
Оно глядится
В волнах морских
Поочередно;
Но чужд для них
Прошлец свободный;
Он образ свой
Во всех встречает,
Хоть их порой
Не замечает. ",1831
86,Лермонтов,Михаил,Юрьевич,* * *,"


Забывши волнения жизни мятежной,
Один жил в пустыне рыбак молодой.
Однажды на скале прибрежной,
Над тихой прозрачной рекой
Он с удой беспечно
 Сидел
И думой сердечной
К прошедшему счастью летел. ",1829
87,Лермонтов,Михаил,Юрьевич,Завещание,"

 1


Есть место: близ тропы глухой,
В лесу пустынном, средь поляны,
Где вьются вечером туманы,
Осеребренные луной...
Мой друг! ты знаешь ту поляну;
Там труп мой хладный ты зарой,
Когда дышать я перестану!


2


Могиле той не откажи
Ни в чем, последуя закону;
Поставь над нею крест из клену
И дикий камень положи;
Когда гроза тот лес встревожит,
Мой крест пришельца привлечет;
И добрый человек, быть может,
На диком камне отдохнет.


Середниково. Ночью; у окна.

 ",1831
88,Лермонтов,Михаил,Юрьевич,Завещание (Наедине с тобою...),"


Наедине с тобою, брат,
Хотел бы я побыть:
На свете мало, говорят,
Мне остается жить!
Поедешь скоро ты домой:
Смотри ж... Да что? моей судьбой,
Сказать по правде, очень
Никто не озабочен.
А если спросит кто–нибудь...
Ну, кто бы ни спросил,
Скажи им, что навылет в грудь
Я пулей ранен был;
Что умер честно за царя,
Что плохи наши лекаря
И что родному краю
Поклон я посылаю.


Отца и мать мою едва ль
Застанешь ты в живых...
Признаться, право, было б жаль
Мне опечалить их;
Но если кто из них и жив,
Скажи, что я писать ленив,
Что полк в поход послали
И чтоб меня не ждали.


Соседка есть у них одна...
Как вспомнишь, как давно
Расстались!.. Обо мне она
Не спросит... все равно,
Ты расскажи всю правду ей,
Пустого сердца не жалей;
Пускай она поплачет...
Ей ничего не значит! ",1840
89,Лермонтов,Михаил,Юрьевич,Звезда (Вверху одна...),"


Вверху одна
Горит звезда,
Мой ум она
Манит всегда,
Мои мечты
Она влечет
И с высоты
Меня зовет.
Таков же был
Тот нежный взор,
Что я любил
Судьбе в укор;
Мук никогда
Он зреть не мог,
Как та звезда,
Он был далек;
Усталых вежд
Я не смыкал,
Я без надежд
К нему взирал.


–
 ","1830', '1831"
90,Лермонтов,Михаил,Юрьевич,"Звезда (Светись, светись, далекая звезда...)","


Светись, светись, далекая звезда,
Чтоб я в ночи встречал тебя всегда;
Твой слабый луч, сражаясь с темнотой,
Несет мечты душе моей больной;
Она к тебе летает высоко;
И груди сей свободно и легко...


Я видел взгляд, исполненный огня
(Уж он давно закрылся для меня),
Но, как к тебе, к нему еще лечу,
И хоть нельзя – смотреть его хочу... ",1830
91,Лермонтов,Михаил,Юрьевич,Звуки,"
Что за звуки! неподвижен внемлю

Сладким звукам я;Забываю вечность, небо, землю,

Самого себя.Всемогущий! что за звуки! жадно

Сердце ловит их,Как в пустыне путник безотрадной

Каплю вод живых!И в душе опять они рождают

Сны веселых летИ в одежду жизни одевают

Все, чего уж нет.Принимают образ эти звуки,

Образ милый мне;Мнится, слышу тихий плач разлуки,

И душа в огне.И опять безумно упиваюсь

Ядом прежних днейИ опять я в мыслях полагаюсь

На слова людей.
 ",
