,Автор стихов,Название,Текст,Год
10,Пушкин,N.N. (В.В. Энгельгердту),"
Я ускользнул от 
Эскулапа
Худой, обритый - но живой:
Его мучительная лапа
Не тяготеет надо мной.
Здоровье, легкой друг 
Приапа,
И сон, и сладостный покой,
Как прежде, посетили снова
Мой угол тесный и простой.
Утешь и ты полу-больного!
Он жаждет видеться с тобой,
С тобой, счастливый беззаконник,
Ленивый 
Пинда гражданин,
Свободы, 
Вакха верный сын,
Венеры набожный поклонник
И наслаждений властелин!
От суеты столицы праздной,
От хладных прелестей 
Невы,
От вредной сплетницы молвы,
От скуки, столь разнообразной,
Меня зовут холмы, луга,
Тенисты клены огорода,
Пустынной речки берега
И деревенская свобода.
Дай руку мне. 
Приеду я
В начале мрачном сентября:
С тобою пить мы будем снова,
Открытым сердцем говоря
Насчет глупца, вельможи злого,
Насчет холопа записного,
Насчет небесного царя,
А иногда насчет земного. 

 ",1819
11,Пушкин,"Tien et mien, - dit Lafontaine...","
«
Tien et mien, - dit 
Lafontaine - 
Du monde a rompu le lien». -
Quant а moi, je n’en crois rien.
Que serait ce, ma 
Climene,
Si tu n’etais plus la mienne,
Si je n’etais plus le tien?

 ",1819
12,Пушкин,"To Dawe, Esqr","

Зачем твой дивный карандаш
Рисует мой арапский профиль?
Хоть ты векам его предашь,
Его освищет 
Мефистофель.

Рисуй 
Олениной черты.
В жару сердечных вдохновений,
Лишь юности и красоты
Поклонником быть должен гений.1 ",1828
13,Пушкин,"Адели (Играй, Адель...)","

Играй, 
Адель,
Не знай печали.
Хариты, 
Лель
Тебя венчали
И колыбель
Твою качали.
Твоя весна
Тиха, ясна:
Для наслажденья
Ты рождена.
Час упоенья
Лови, лови!
Младые лета
Отдай любви,
И в шуме света
Люби, 
Адель,
Мою свирель. ",1822
14,Пушкин,Акафист Екатерине Николаевне Карамзиной,"

Земли достигнув наконец,
От бурь спасенный провиденьем,
Святой владычице пловец
Свой дар несет с благоговеньем.
Так посвящаю с умиленьем
Простой, увядший мой венец
Тебе, высокое светило
В эфирной тишине небес,
Тебе, сияющей так мило
Для наших набожных очес. ",1827
15,Пушкин,Александру,"

Утихла брань племен: в пределах отдаленных
Не слышен битвы шум и голос труб военных;
С небесной высоты, при звуке стройных лир,
На землю мрачную нисходит светлый 
Мир.
Свершилось!.. 
Русской царь, достиг ты славной цели!
Вотще надменные на родину летели;
Вотще впреди знамен бесчисленных дружин
В могущей дерзости венчанный исполин
На гибель грозно шел, влек цепи за собою:
Меч огненный блеснул за дымною 
Москвою!
Звезда губителя потухла в вечной мгле,
И пламенный венец померкнул на челе!
Содрогся счастья сын, и, брошенный судьбою,
Он землю русскую не взвидел под собою. -
Бежит... и мести гром слетел ему во след;
И с трона гордый пал... и вновь восстал... и нет!
 
Тебе, наш храбрый царь, хвала, благодаренье!
Когда полки врагов покрыли отдаленье,
Во броню ополчась, взложив пернатый шлем,
Колена преклонив пред вышним алтарем,
Ты браней меч извлек и клятву дал святую
От ига оградить страну свою родную.
Мы вняли клятве сей; и гордые сердца
В восторге пламенном летели вслед отца
И смертью роковой горели и дрожали;
И россы пред врагом твердыней грозной стали!...
 «
К мечам!» раздался клик, и вихрем понеслись;
Знамены, восшумев, по ветру развились;
Обнялся с братом брат: и милым дали руку
Младые ратники на грустную разлуку;
Сразились. 
Воспылал свободы ярый бой,
И смерть хватала их холодною рукой!...
А я.... вдали громов, в сени твоей надежной...
Я тихо расцветал, беспечный, безмятежный!
Увы! мне не судил таинственный предел
Сражаться за тебя под градом вражьих стрел!....
Сыны 
Бородина, о 
Кульмские герои!
Я видел, как на брань летели ваши строи;
Душой восторженной за братьями спешил.
Почто ж на бранный дол я крови не пролил?
Почто, сжимая меч младенческой рукою,
Покрытый ранами, не пал я пред тобою
И славы под крылом наутре не почил?
Почто великих дел свидетелем не был?
 
О, сколь величествен, бессмертный, ты явился
Когда на сильного с сынами устремился;
И, челы приподняв из мрачности гробов,
Народы, падшие под бременем оков,
Тяжелой цепию с восторгом потрясали
И с робкой радостью друг друга вопрошали:
«
Ужель свободны мы?.... 
Ужели грозный пал...
Кто смелый? 
Кто в громах на севере восстал?..»
И ветхую главу 
Европа преклонила,
Царя-спасителя колена окружила
Освобожденною от рабских уз рукой,
И власть мятежная исчезла пред тобой!
 
И ныне ты к сынам, о царь наш, возвратился,
И край полуночи восторгом озарился!
Склони на свой народ смиренья полный взгляд -
Все лица радостью, любовию блестят.
Внемли - повсюду весть отрадная несется,
Повсюду гордый клик веселья раздается;
По стогнам шум, везде сияет торжество,
И ты среди толпы, 
России божество!
Встречать вождя побед летят твои дружины.
Старик, счастливый век забыв 
Екатерины,
Взирает на тебя с безмолвною слезой.
Ты наш, о русской царь! оставь же шлем стальной
И грозный меч войны, и щит - ограду нашу;
Излей пред 
Янусом священну мира чашу,
И, брани сокрушив могущею рукой,
Вселенну осени желанной тишиной!...
И придут времена спокойствия златые,
Покроет шлемы ржа, и стрелы каленые,
В колчанах скрытые, забудут свой полет;
Счастливый селянин, не зная бурных бед,
По нивам повлечет плуг, миром изощренный;
Суда летучие, торговлей окриленны,
Кормами рассекут свободный океан,
И юные сыны воинственных славян
Спокойной праздности с досадой предадутся,
И молча некогда вкруг старца соберутся,
Преклонят жадный слух, и ветхим костылем
И стан, и ратный строй, и дальний бор с холмом
На прахе начертит он медленно пред ними,
Словами истины, свободными, простыми,
Им славу прошлых лет в рассказах оживит
И доброго царя в слезах благословит.
 ",1815
16,Пушкин,Алексееву,"
Мой милый, как несправедливы
Твои ревнивые мечты:
Я позабыл любви призывы
И плен опасной красоты:
Свободы друг миролюбивый,
В толпе красавиц молодых,
Я, равнодушный и ленивый,
Своих богов не вижу в них.
Их томный взор, приветный лепет
Уже не властны надо мной.
Забыло сердце нежный трепет
И пламя юности живой.
Теперь уж мне влюбиться трудно,
Вздыхать неловко и смешно,
Надежде верить безрассудно,
Мужей обманывать грешно.
Прошел веселый жизни праздник.
Как мой задумчивый проказник,
Как 
Баратынский, я твержу:«
Нельзя ль найти подруги нежной?
Нельзя ль найти любви надежной?»
И ничего не нахожу.
Оставя счастья призрак ложный,
Без упоительных страстей.
Я стал наперсник осторожный
Моих неопытных друзей.
Когда любовник исступленный.
Тоскуя, плачет предо мной
И для красавицы надменной
Клянется жертвовать собой;
Когда в жару своих желании
С восторгом изъясняет он
Неясных, темных ожиданий
Обманчивый, но сладкий сон
И, крепко руку сжав у друга,
Клянет ревнивого супруга,
Или докучливую мать, - 
Его безумным увереньям
И поминутным повтореньям
Люблю с участием внимать:
Я льщу слепой его надежде,
Я молод юностью чужой
И говорю: так было прежде
Во время оно и со мной.  ",1821
17,Пушкин,* * *,"

Альфонс садится на коня;
Ему хозяин держит стремя.
«
Сеньор, послушайтесь меня:
Пускаться в путь теперь не время,
В горах опасно, ночь близка,
Другая вента далека.
Останьтесь здесь: готов вам ужин;
В камине разложен огонь;
Постеля есть – покой вам нужен,
А к стойлу тянется ваш конь».
– «
Мне путешествие привычно
И днем и ночью – был бы путь, –
Тот отвечает, – неприлично
Бояться мне чего–нибудь.
Я дворянин, – ни чорт, ни воры
Не могут удержать меня,
Когда спешу на службу я».
И дон 
Альфонс коню дал шпоры,
И едет рысью. 
Перед ним
Одна идет дорога в горы
Ущельем тесным и глухим.
Вот выезжает он в долину;
Какую ж видит он картину?
Кругом пустыня, дичь и голь,
А в стороне торчит глаголь,
И на глаголе том два тела
Висят. 
Закаркав, отлетела
Ватага черная ворон,
Лишь только к ним подъехал он.
То были трупы двух гитанов,
Двух славных братьев–атаманов,
Давно повешенных и там
Оставленных в пример ворам.
Дождями небо их мочило,
А солнце знойное сушило,
Пустынный ветер их качал,
Клевать их ворон прилетал.
И шла молва в простом народе,
Что, обрываясь по ночам,
Они до утра на свободе
Гуляли, мстя своим врагам.

Альфонсов конь всхрапел и боком
Прошел их мимо, и потом
Понесся резво, легким скоком,
С своим бесстрашным седоком. ",1836
18,Пушкин,Ангел,"

В дверях эдема ангел нежный
Главой поникшею сиял,
А демон мрачный и мятежный
Над адской бездною летал.

Дух отрицанья, дух сомненья
На духа чистого взирал
И жар невольный умиленья
Впервые смутно познавал.

«
Прости, – он рек, – тебя я видел,
И ты недаром мне сиял:
Не все я в небе ненавидел,
Не все я в мире презирал». ",1827
19,Пушкин,Анне Вульф,"

Увы! напрасно деве гордой
Я предлагал свою любовь!
Ни наша жизнь, ни наша кровь
Ее души не тронет твердой.
Слезами только буду сыт,
Хоть сердце мне печаль расколет.
Она на щепочку нассыт,
Но и понюхать не позволит.
 ",
20,Пушкин,Анчар,"

В пустыне чахлой и скупой,
На почве, зноем раскаленной,
Анчар, как грозный часовой,
Стоит — один во всей вселенной.

Природа жаждущих степей
Его в день гнева породила
И зелень мертвую ветвей
И корни ядом напоила.

Яд каплет сквозь его кору,
К полудню растопясь от зною,
И застывает ввечеру
Густой прозрачною смолою.

К нему и птица не летит
И тигр нейдет — лишь вихорь черный
На древо смерти набежит
И мчится прочь, уже тлетворный.

И если туча оросит,
Блуждая, лист его дремучий,
С его ветвей, уж ядовит,
Стекает дождь в песок горючий.

Но человека человек
Послал к анчару властным взглядом:
И тот послушно в путь потек
И к утру возвратился с ядом.

Принес он смертную смолу
Да ветвь с увядшими листами,
И пот по бледному челу
Струился хладными ручьями;

Принес — и ослабел и лег
Под сводом шалаша на лыки,
И умер бедный раб у ног
Непобедимого владыки.

А князь тем ядом напитал
Свои послушливые стрелы
И с ними гибель разослал
К соседам в чуждые пределы.

* 
Древо яда. ",1828
21,Пушкин,Аптеку позабудь ты для венков лавровых...,"
Аптеку позабудь ты для венков лавровых
И не мори больных, но усыпляй здоровых. 

 ",1820
22,Пушкин,Арион,"

Нас было много на челне;
Иные парус напрягали,
Другие дружно упирали
В глубь мощны веслы. 
В тишине
На руль склонись, наш кормщик умный
В молчанье правил грузный челн;
А я – беспечной веры полн, –
Пловцам я пел... 
Вдруг лоно волн
Измял с налету вихорь шумный...
Погиб и кормщик и пловец! –
Лишь я, таинственный певец,
На берег выброшен грозою,
Я гимны прежние пою
И ризу влажную мою
Сушу на солнце под скалою. ",1827
23,Пушкин,Бакуниной,"
Напрасно воспевать мне ваши имянины
При всем усердии послушности моей;
Вы не милее в день святой 
Екатерины
За тем, что никогда не льзя быть вас милей. 

 ",1817-1820
24,Пушкин,"Баратынскому (О ты, который...)","

О ты, который сочетал
С глубоким чувством вкус толь верный,
И точный ум, и слог примерный,
О, ты, который избежал
Сентиментальности манерной
И в самый легкой мадригал
Умел ………. . ",1827
25,Пушкин,Баратынскому. (Я жду обещанной тетради...),"
Я жду обещанной тетради:
Что ж медлишь, милый трубадур!
Пришли ее мне, 
Феба ради,
И награди тебя 
Амур.  ",1822
26,Пушкин,Баратынскому. Из Бессарабии,"
Сия пустынная страна
Священна для души поэта:
Она 
Державиным воспета
И славой русскою полна.
Еще доныне тень 
Назона
Дунайских ищет берегов;
Она летит на сладкий зов
Питомцев 
Муз и 
Аполлона,
И с нею часто при луне
Брожу вдоль берега крутого:
Но, друг, обнять милее мне 
В тебе 
Овидия живого.  ",1822
27,Пушкин,Батюшкову,"
В пещерах 
Геликона
Я некогда рожден;
Во имя 
Аполлона
Тибуллом окрещен,
И светлой 
Иппокреной
С издетства напоенный
Под кровом вешних роз,
Поэтом я возрос.
Веселый сын 
Эрмия
Ребенка полюбил,
В дни резвости златые
Мне дудку подарил.
Знакомясь с нею рано,
Дудил я непрестанно:
Нескладно хоть играл,
Но 
Музам не скучал.
А ты, певец забавы
И друг 
Пермесских дев,
Ты хочешь, чтобы, славы
Стезею полетев,
Простясь с 
Анакреоном,
Спешил я за 
Мароном
И пел при звуках лир
Войны кровавый пир.
Дано мне мало 
Фебом:
Охота, скудный дар.
Пою под чуждым небом,
Вдали домашних 
Лар,
И, с дерзостным 
Икаром
Страшась летать не даром,
Бреду своим путем:
Будь всякой при своем.

 ",1815
